mvliking,age,income,miles,numkids,female,educ,recycle,cluster
4,34,59,14,1,0,1,3,2
6,36,79,16,1,0,3,4,3
3,51,72,22,2,1,3,3,1
3,32,42,12,0,0,3,2,3
1,40,75,17,1,1,3,4,1
2,43,94,16,0,0,3,5,1
8,47,38,26,2,1,4,3,3
4,29,39,16,1,0,2,2,2
5,38,129,20,1,0,3,2,1
3,26,26,11,0,0,2,3,2
1,31,20,12,0,1,3,3,2
3,43,136,17,0,0,3,1,1
4,37,49,13,1,1,3,3,2
7,46,61,18,1,1,3,4,1
6,52,119,28,3,1,3,3,3
6,39,28,29,2,1,4,3,3
9,43,113,17,0,0,4,4,3
4,36,124,23,3,0,3,2,3
1,48,58,21,1,1,3,4,2
3,35,51,19,1,1,3,4,2
7,28,23,8,0,0,2,4,2
1,28,29,16,1,1,2,3,2
7,58,166,29,2,1,3,2,3
2,41,63,18,0,0,3,5,2
5,36,33,18,2,0,3,2,2
1,50,128,26,3,1,4,1,1
1,23,23,17,3,1,1,1,2
9,50,168,27,3,1,3,3,3
1,44,61,21,4,1,3,3,2
3,44,52,25,2,1,3,3,1
1,27,22,13,0,0,1,3,2
6,56,214,17,2,1,4,3,1
9,36,38,13,0,0,1,4,2
7,51,70,25,0,1,4,2,1
9,52,80,25,2,1,4,4,1
3,49,147,27,4,1,3,2,1
1,41,62,20,1,1,4,3,1
6,38,79,16,2,0,3,2,3
5,50,147,19,1,0,3,3,1
9,55,91,14,1,1,3,4,1
4,46,125,20,1,1,4,3,3
2,35,64,17,1,1,2,2,2
4,46,37,17,1,0,2,2,2
1,34,31,16,1,1,2,4,2
2,37,30,16,3,1,3,2,2
6,48,97,22,2,1,4,3,3
1,30,23,24,3,1,1,1,2
6,48,99,24,4,1,1,2,1
3,44,57,19,2,0,3,3,1
6,33,24,16,0,0,2,3,2
5,47,128,20,1,0,4,2,1
7,51,74,19,3,1,3,2,1
1,25,21,20,1,1,3,4,2
1,43,100,15,0,0,3,4,1
4,37,46,19,1,1,2,3,2
5,41,53,21,4,1,3,4,2
4,36,59,12,1,0,1,1,3
4,50,109,21,3,1,3,3,1
6,40,80,26,3,1,2,2,3
1,36,33,21,2,1,2,2,2
1,46,121,13,0,1,4,4,1
1,35,22,23,1,1,3,2,2
4,28,39,12,0,0,1,2,2
2,23,21,9,0,1,1,4,2
5,35,53,20,1,1,3,4,3
6,28,18,13,0,1,1,3,2
1,40,25,24,2,1,3,5,2
7,44,40,22,2,1,4,4,3
8,38,65,10,0,0,3,2,3
4,37,87,17,0,1,4,5,1
5,54,103,26,1,1,4,5,3
3,23,29,12,1,0,1,3,2
5,34,36,16,1,1,1,4,2
9,53,67,14,1,0,4,4,1
4,43,113,14,1,0,3,4,1
1,33,41,16,2,1,3,4,2
2,31,37,15,0,1,3,4,2
5,38,89,13,0,1,4,4,1
3,31,34,7,0,0,2,2,2
8,36,86,17,2,1,3,3,3
1,42,69,18,1,1,3,2,1
1,22,25,16,0,1,3,4,2
2,38,58,12,0,1,3,1,2
1,32,24,18,2,1,1,2,2
5,39,80,21,2,1,3,2,1
6,40,52,11,0,0,2,3,2
7,30,24,16,1,0,1,3,2
3,46,75,24,2,1,4,3,1
2,42,82,19,1,1,2,1,2
1,30,36,17,1,0,1,3,2
8,52,88,21,2,0,3,4,1
9,40,73,17,3,0,2,2,3
5,29,47,16,1,0,1,5,2
4,48,82,24,2,1,4,2,3
2,35,89,12,0,0,2,3,1
7,47,164,17,0,0,4,3,1
6,46,126,15,0,0,4,3,1
4,24,31,14,0,1,2,3,2
9,35,32,14,1,0,3,2,2
1,33,38,10,0,0,2,2,2
2,35,34,15,1,1,2,4,2
5,50,93,20,1,1,3,4,1
9,27,27,11,0,0,2,3,2
4,35,22,17,2,0,1,2,2
8,41,57,12,0,0,3,3,2
4,37,60,21,2,0,2,2,3
6,41,61,20,2,1,2,4,2
9,43,51,28,3,1,3,3,3
4,43,273,20,1,1,4,4,1
2,46,130,20,2,0,3,2,1
6,45,110,27,3,1,4,3,3
5,52,111,27,3,1,3,2,3
1,26,32,13,1,1,1,1,2
5,42,81,18,1,0,3,4,3
1,34,26,17,0,1,3,5,2
9,36,48,17,1,0,3,2,3
6,44,112,22,1,1,4,3,3
5,33,35,16,1,0,1,3,2
7,38,31,20,1,0,3,3,2
4,24,28,12,0,0,1,3,2
3,39,80,16,1,0,3,3,1
4,30,32,11,0,0,3,3,2
3,45,47,26,3,1,2,2,3
4,43,68,10,0,0,3,4,1
6,39,49,11,0,0,3,3,3
1,41,34,16,1,1,2,4,2
5,32,56,14,0,0,2,4,2
3,36,27,13,1,1,2,3,2
8,54,102,22,2,1,4,5,3
5,32,33,15,2,1,1,3,2
1,43,52,22,1,1,3,3,1
7,42,70,24,1,1,4,2,1
9,50,124,19,1,0,3,1,1
8,42,58,10,0,0,3,2,3
9,46,131,13,0,0,1,1,3
1,31,78,13,0,0,3,5,1
9,46,134,11,0,0,3,2,1
5,56,129,18,1,1,4,2,1
8,31,39,22,2,1,4,4,3
6,43,73,19,1,0,3,3,3
6,37,35,22,2,1,3,4,3
5,46,181,17,0,1,4,4,1
5,28,26,14,0,0,2,3,2
7,34,45,13,1,1,2,2,2
7,47,40,19,0,0,4,5,3
3,34,24,15,1,1,3,1,2
1,43,68,23,3,1,3,3,3
1,47,65,25,2,1,4,3,3
4,39,71,16,0,1,3,2,2
3,33,72,17,1,0,3,4,2
5,44,64,15,1,0,3,4,1
4,23,21,13,0,0,2,5,2
9,53,53,24,2,0,3,1,3
6,38,105,21,1,0,3,2,3
1,42,66,20,1,1,3,2,1
3,24,24,17,1,1,2,3,2
9,50,140,26,3,1,4,1,3
4,26,35,14,0,0,2,4,2
7,45,79,12,0,0,4,2,1
7,56,128,18,2,0,2,1,3
7,40,66,21,2,0,3,1,3
4,42,72,15,1,0,3,5,1
9,42,76,16,1,0,3,5,3
2,31,27,18,1,0,1,4,2
6,41,70,23,2,1,3,5,2
6,30,23,15,0,0,2,4,2
6,54,189,15,0,0,4,5,1
9,44,102,16,0,0,3,4,1
1,31,46,15,1,1,2,2,2
5,53,113,17,1,0,2,1,1
8,55,133,17,0,0,4,4,3
1,35,31,17,0,1,2,4,2
2,30,45,16,0,1,2,2,2
9,50,89,20,1,1,2,1,3
5,49,96,23,3,1,4,3,1
9,46,72,24,1,0,3,5,3
4,55,100,21,1,1,3,3,1
9,42,70,28,3,1,3,3,3
7,53,63,23,3,1,4,2,3
1,55,130,17,1,1,4,3,1
3,40,44,18,2,1,3,3,2
1,19,21,9,0,0,2,4,2
7,36,47,18,1,1,3,3,3
1,35,55,13,0,0,3,5,1
9,39,51,23,2,1,3,5,3
1,31,42,18,0,1,3,5,2
3,40,93,16,1,1,3,4,1
7,28,18,13,1,0,1,3,2
3,23,15,12,1,0,1,4,2
1,52,226,23,2,0,3,3,1
9,44,71,23,2,0,4,5,3
6,35,92,18,1,0,2,2,1
1,30,22,19,2,1,3,2,2
3,37,32,14,0,0,3,4,2
9,45,131,27,3,0,2,1,3
1,28,31,9,0,0,2,3,2
9,28,42,15,0,0,2,4,2
6,39,68,15,0,0,4,4,3
9,53,123,32,1,1,4,3,3
1,41,83,16,1,1,3,5,2
8,41,77,21,1,0,3,3,3
4,28,18,9,0,1,2,5,2
8,47,86,21,2,1,3,1,1
2,28,29,16,1,0,2,3,2
1,51,93,17,2,1,4,4,1
1,54,138,22,1,1,4,4,1
2,37,36,17,1,1,3,2,2
9,46,78,12,1,0,3,3,1
7,32,35,9,0,0,2,3,2
9,36,66,13,0,0,2,1,3
3,41,98,21,1,1,3,3,1
1,44,77,14,0,1,3,5,3
6,27,23,13,1,0,1,3,2
7,45,108,13,0,0,4,5,1
6,51,78,18,1,0,4,3,1
4,36,31,19,0,0,3,2,2
8,53,158,18,1,0,4,1,1
5,47,91,18,0,1,4,2,3
3,35,28,19,2,1,3,1,2
2,38,81,21,1,1,3,2,1
2,44,87,16,1,0,3,3,3
4,34,24,7,0,0,2,4,2
5,47,122,13,0,0,4,3,1
2,29,26,15,1,0,1,3,2
5,57,142,14,0,0,3,3,1
7,28,19,11,0,0,2,3,2
2,38,92,30,4,1,4,2,3
3,24,47,15,0,1,3,5,2
7,37,70,21,2,0,4,4,3
5,31,49,8,0,0,3,5,2
8,34,39,13,0,0,2,4,2
4,45,50,23,2,1,3,4,1
1,42,41,16,1,0,3,4,1
3,52,86,16,1,1,3,1,1
6,49,97,18,1,1,4,2,1
6,41,69,17,0,1,3,5,1
8,60,200,18,3,0,2,1,1
9,46,108,17,1,0,3,2,3
1,40,37,16,1,1,3,3,2
8,41,93,20,2,0,4,4,3
7,37,30,19,1,0,2,3,2
9,48,138,21,3,1,4,3,3
8,47,84,24,2,1,3,2,3
1,30,26,10,0,1,3,3,2
5,57,120,20,2,1,4,2,1
2,30,46,14,2,0,1,4,2
3,40,74,17,1,0,2,1,3
5,48,88,18,0,1,4,3,1
8,32,27,20,1,1,3,4,2
5,31,19,20,1,1,2,4,2
4,40,73,21,1,1,2,1,1
4,30,35,15,0,0,1,4,2
8,45,59,16,1,0,4,4,3
6,43,80,25,1,1,3,2,3
8,47,70,22,3,1,3,2,3
3,32,31,12,0,1,3,3,2
3,52,100,24,2,1,4,3,1
9,27,36,11,0,0,1,1,2
5,35,55,17,1,0,1,2,2
3,37,54,18,1,0,2,5,3
1,52,229,20,1,1,3,4,1
5,41,104,20,1,1,2,3,1
5,55,80,23,2,1,4,3,1
6,33,67,12,1,0,1,3,3
3,44,138,18,0,1,4,3,1
8,50,83,26,4,1,4,4,3
6,29,17,16,1,1,2,4,2
5,25,47,8,0,0,2,3,2
7,58,167,28,4,1,4,1,3
5,38,51,12,1,0,3,2,2
5,39,120,14,0,1,3,4,1
9,40,60,19,3,0,2,2,2
5,43,55,18,0,0,4,5,1
8,36,22,21,1,1,3,3,2
8,41,73,23,2,0,3,3,3
3,49,132,22,2,1,4,4,1
6,48,85,21,2,0,4,5,3
7,39,42,18,1,0,3,5,2
1,36,30,19,0,1,2,5,2
9,44,56,25,3,1,3,4,3
2,38,113,20,2,1,2,2,1
6,38,32,13,1,0,2,2,3
9,46,78,24,2,0,4,3,3
3,47,112,22,1,1,4,5,3
4,53,124,17,0,0,4,1,1
1,33,21,17,1,1,3,4,2
4,29,22,15,0,0,3,5,2
2,45,105,18,1,0,3,3,1
9,47,101,24,3,0,3,2,3
9,35,38,16,1,1,2,1,3
9,49,164,25,4,1,3,1,3
2,36,39,11,0,1,3,3,2
5,39,30,13,0,0,2,3,2
7,36,43,28,3,1,4,5,3
5,43,96,22,1,1,4,5,3
7,32,62,13,0,0,2,5,2
4,45,186,14,0,0,4,3,1
8,48,105,18,2,0,3,2,3
7,47,83,30,3,1,4,1,3
7,46,50,18,2,1,3,2,1
8,48,82,20,1,1,4,4,3
1,30,49,8,0,1,3,5,2
5,42,133,18,1,0,2,5,1
9,50,81,22,2,0,4,4,3
9,26,22,10,1,0,1,2,2
2,43,95,18,0,1,4,4,1
9,39,48,17,1,0,3,3,3
8,52,53,23,4,1,3,1,3
4,47,104,21,2,1,3,1,1
1,37,53,22,2,1,2,3,2
4,33,48,16,0,1,3,5,2
4,35,43,16,1,1,2,2,2
3,21,26,8,0,0,1,2,2
5,37,61,21,1,1,3,3,3
1,30,22,17,0,1,3,4,2
8,46,59,16,2,1,4,4,3
1,32,29,14,1,1,2,1,2
6,39,34,29,4,1,4,3,3
7,43,111,18,1,0,4,3,3
3,43,108,19,1,0,3,4,1
3,28,29,15,1,1,1,5,2
2,43,112,19,2,1,4,4,3
3,24,20,13,0,1,1,4,2
9,52,100,29,2,1,4,2,3
7,41,35,15,1,0,1,5,2
9,48,152,18,1,0,3,1,3
1,29,21,15,1,1,2,3,2
4,41,44,16,1,1,3,4,2
6,29,55,20,1,0,2,3,2
9,56,125,28,4,1,4,2,3
5,53,158,23,2,0,4,3,3
1,26,31,18,2,1,3,3,2
8,60,170,24,2,1,4,3,1
1,37,38,27,4,1,4,3,3
3,46,115,29,4,1,3,3,3
1,37,46,21,2,1,3,4,2
6,31,27,13,0,0,1,3,2
5,37,40,17,0,1,3,3,2
5,46,142,16,0,0,3,2,3
1,29,37,9,0,1,2,1,2
8,41,109,18,2,0,2,1,1
9,45,126,22,2,0,3,5,1
1,49,96,18,2,1,4,5,1
1,46,142,22,1,1,4,4,1
4,52,122,23,2,0,3,3,1
9,41,69,12,1,0,2,2,3
2,35,59,15,1,1,1,2,2
6,45,110,24,4,1,3,1,3
1,46,122,14,0,0,4,4,1
5,30,41,16,1,0,2,2,2
9,46,104,27,3,1,4,3,3
4,26,25,17,0,0,1,3,2
1,37,77,13,0,0,3,3,1
1,27,27,13,0,1,2,4,2
4,54,92,22,2,1,3,3,1
5,33,36,26,3,1,2,3,3
9,36,80,23,3,0,2,4,3
8,46,61,25,4,1,3,2,3
6,47,78,22,1,1,4,1,1
5,44,44,25,2,1,3,3,3
9,45,125,20,1,0,4,3,3
8,42,57,22,2,1,3,4,3
6,37,24,11,1,0,2,2,2
5,44,70,18,1,0,3,4,3
3,32,31,22,3,1,3,3,2
4,32,38,19,1,1,3,2,2
1,29,15,14,1,1,1,4,2
4,37,49,20,1,0,3,4,3
4,43,66,17,0,0,4,5,3
3,34,35,14,1,0,2,3,2
9,50,73,13,1,1,4,1,1
1,48,73,14,0,0,3,2,1
9,42,49,27,3,0,3,4,3
5,47,70,23,2,1,2,2,3
4,38,27,18,1,1,3,2,3
6,55,107,18,1,0,3,1,1
5,44,41,20,2,1,3,1,3
3,28,40,19,0,1,2,3,2
3,36,50,16,1,1,3,4,1
9,39,90,18,1,0,3,4,1
9,50,125,22,2,0,4,3,3
4,53,139,16,1,0,3,3,1
7,36,41,20,2,0,2,3,1
5,53,84,21,0,1,4,4,3
1,43,98,25,2,1,4,4,2
6,31,27,17,1,1,1,2,2
3,51,143,22,3,1,4,2,1
4,27,22,9,0,1,1,2,2
8,47,117,15,1,0,4,4,1
1,30,24,14,0,0,2,3,2
4,39,80,15,2,0,3,4,1
4,35,32,20,4,1,2,2,2
8,43,68,26,2,1,4,5,3
7,46,171,19,2,0,2,1,1
9,56,236,20,2,1,3,2,1
6,32,32,10,0,0,3,3,2
1,23,29,7,0,0,1,5,2
9,50,77,21,0,0,4,5,3
9,43,61,24,3,1,3,3,3
5,31,45,18,2,1,2,2,2
